Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,Label
1826.379159,-83.4585295,3578.605538,-85.82493183,17848.77353,-85.55503267,30923.77481,-84.67948696,121151.8394,-79.34971646,1
1822.43039,-83.70776486,3588.429488,-85.42117581,17537.2992,-87.16496869,31855.09213,-88.80243961,121616.4272,-78.98049875,1
1824.105505,-83.82318648,3532.988697,-85.37238973,16429.97769,-87.91634482,31066.25861,-83.51989834,121313.6036,-79.64677266,1
1827.759715,-83.85820681,3519.955468,-84.63428262,15756.76588,-87.76094197,31640.11028,-85.15734413,121513.8072,-79.96238363,1
1826.67883,-83.47333429,3546.7539,-85.46653117,18538.43959,-85.56268731,31423.10366,-87.92085366,121650.4594,-79.73759426,1
1818.44242,-83.78905576,3563.871956,-85.58140219,16059.09042,-86.30318372,31087.21852,-85.71476234,121602.5547,-79.53147397,1
1824.022559,-83.66937426,3570.484103,-85.37155422,15808.2177,-86.86990085,30910.3984,-84.27226276,121405.5444,-79.62143878,1
1820.833637,-83.68507886,3581.732956,-85.750814,15769.27993,-85.05915497,31335.35839,-87.54426672,122004.1516,-78.90006468,1
1820.973008,-83.58966488,3566.093145,-85.30243294,17949.39607,-85.60164475,32198.71017,-85.17299667,120987.4555,-79.47324097,1
1822.46062,-83.92020941,3595.959786,-85.52737977,16329.57016,-87.0959816,31418.77508,-86.75024851,121818.2922,-79.24438798,1
1821.688886,-83.5473147,3555.712539,-86.10255047,16097.11646,-87.62314247,31882.99308,-86.00453631,120932.2042,-79.44429148,1
1825.482283,-83.48851084,3541.572194,-85.40379061,16979.58724,-85.5836755,31509.43348,-85.13802819,121699.2694,-79.59662395,1
1823.475216,-83.56492477,3525.841323,-85.50821963,16638.40275,-86.83830273,31867.46628,-84.90499807,121264.557,-79.41104553,1
1821.624124,-83.6349934,3542.065904,-86.03846939,16171.96856,-86.08519387,30830.81752,-85.8777809,121869.0126,-78.75143468,1
1822.556928,-83.56334934,3565.229707,-85.40723759,17589.71926,-84.3382824,31376.71186,-84.77214061,121597.861,-79.72822466,1
1822.237908,-83.51041796,3542.071046,-84.77955416,17897.9267,-85.60843287,31895.3333,-83.96145764,121653.0788,-79.12415011,1
1825.597528,-84.06696145,3579.455061,-85.16993912,17818.72956,-87.22229556,31468.70887,-85.59253286,121219.5706,-79.82978353,1
1820.677872,-83.23722685,3589.194665,-85.13339354,17602.51804,-86.01251145,31498.15596,-83.04905077,121344.1146,-79.60688462,1
1822.178247,-83.511989,3511.744083,-85.92114787,17241.87075,-87.32918265,31366.25441,-83.00347964,121639.2142,-79.42458868,1
1818.799058,-83.69492206,3577.966424,-85.18784641,15085.16572,-84.30017308,31972.00874,-85.81526689,121768.0877,-79.29755408,1
1813.880395,-83.64904319,3514.406028,-85.32029946,18495.81618,-86.86668129,31645.38041,-86.12625525,122571.2601,-78.84231426,1
1823.164215,-83.49380128,3568.493704,-85.16681722,17142.24187,-85.95738784,31548.18462,-87.65240876,121644.5701,-79.44570885,1
1823.774577,-83.60081398,3585.355693,-85.20973169,17445.34413,-85.83857488,31777.86996,-85.36599634,121902.4793,-79.75800338,1
1819.123122,-83.93677507,3561.599526,-85.92852123,17947.07653,-86.01417987,31756.84679,-85.71821908,121035.1205,-79.17017513,1
1827.843276,-83.21817367,3534.064316,-85.39686014,18262.27939,-88.5188328,31612.81696,-84.01934107,121112.8659,-79.56931771,1
1817.061148,-83.59983776,3548.282163,-85.68578994,17257.48533,-87.9131557,32124.47943,-87.42265076,121446.5262,-79.33206582,1
1821.404329,-83.40142579,3554.913036,-85.40036184,17274.46182,-86.7375003,31508.18939,-85.59026833,121158.2253,-79.47173813,1
1820.729911,-83.70187811,3556.539098,-85.74205802,16250.05019,-85.82473854,31637.92915,-83.73726784,122077.2411,-80.19084539,1
1825.709574,-83.31084481,3556.11616,-84.85088655,16876.03429,-86.36546727,31284.77969,-86.26382709,121427.7872,-79.22595794,1
1825.525958,-83.53019447,3558.021014,-85.726561,15997.66531,-87.33450763,31588.86356,-86.31141761,122041.5543,-79.19641464,1
1821.720455,-83.47360374,3564.643226,-85.74267955,16130.54239,-87.79725811,32140.09643,-87.3293844,122077.3724,-79.06133397,1
1822.36671,-83.76385651,3535.520705,-85.35008615,15958.64672,-86.67742938,31284.66273,-81.28100198,121582.9063,-78.71742756,1
1818.701518,-83.36791487,3555.314953,-85.81452462,16688.81381,-86.75657173,31096.65481,-86.28927866,121740.0873,-79.89633138,1
1815.537018,-83.45939477,3591.364098,-85.55141783,17881.86679,-85.59600515,31913.49016,-87.11140027,121549.0473,-79.22272758,1
1820.264568,-83.35199912,3552.394095,-85.71486308,19982.5068,-86.58844655,31474.26427,-86.37311144,121752.6329,-79.26492099,1
1821.724513,-83.69065432,3551.181917,-84.81108326,17030.8784,-85.48971738,31568.11591,-86.32916275,121733.7668,-79.59092837,1
1824.833804,-83.66484889,3582.351942,-85.06327457,15508.3613,-86.90579331,31514.0076,-85.57836996,121525.9163,-79.26971787,1
1824.752996,-83.17616077,3507.861273,-85.40334015,18095.59572,-86.50523311,31561.64271,-83.95046185,121741.1729,-79.22936302,1
1820.150454,-83.76644695,3584.465013,-85.53793001,16545.50298,-86.61414346,31857.42198,-85.62139383,122158.4981,-79.9056113,1
1820.396617,-83.60429642,3547.330442,-85.00072207,16189.28037,-87.12780038,31209.56213,-86.55002383,121812.4136,-79.32909799,1
1818.236063,-83.38094458,3563.628451,-85.21675846,17051.02452,-85.46321262,31143.36344,-87.33592446,121679.82,-79.78727115,1
1817.160592,-83.56329234,3562.243909,-85.17931566,15615.07075,-87.16473394,31563.88438,-85.14528626,121610.9818,-79.68253667,1
1816.33183,-83.47814682,3579.572317,-85.390727,17063.51194,-86.81944881,30915.3524,-85.11453261,121221.4903,-80.12444885,1
1826.919762,-83.65053397,3554.791199,-86.06097449,16755.78497,-86.28899649,31004.83903,-82.90129589,121216.4827,-79.61228982,1
1819.796296,-83.51550507,3546.3859,-85.42551849,16940.66886,-87.73688924,32247.04261,-85.04031857,121678.9835,-79.50611399,1
1820.00353,-83.80970348,3586.850167,-85.59490091,17220.87379,-86.58681032,31821.73933,-85.32501318,121099.3403,-79.20960293,1
1817.644737,-83.28948009,3511.854939,-85.12003403,16910.0924,-87.04375929,31527.44935,-86.74010747,121305.8458,-79.42564468,1
1823.52285,-83.60117548,3560.687753,-84.97212032,16859.45032,-86.66157767,32005.99097,-85.63273873,122007.0819,-80.03296563,1
1816.599268,-83.69979493,3532.666892,-85.64549543,17124.74412,-86.27339516,31132.31109,-85.82979841,122223.742,-79.08670088,1
1820.65592,-83.46350704,3544.674912,-85.19127949,17254.51796,-87.14855224,31410.29441,-85.72822119,120997.7883,-79.47266856,1
1818.679281,-83.66128546,3601.460251,-84.68013918,15822.11922,-86.46279676,31770.35443,-86.60419823,122125.2667,-79.23380083,1
1822.392014,-83.81456969,3559.358047,-85.64943201,15427.59979,-84.65480001,31872.81314,-84.37729345,121495.8551,-79.04585513,1
1819.792958,-83.81675594,3564.266196,-84.70189845,16782.25478,-86.23303137,31727.97161,-85.38960404,121563.1192,-78.8661334,1
1817.853665,-83.45870077,3523.786345,-85.72398551,15424.88303,-84.84805569,30556.92487,-85.47571317,121529.4221,-78.65415887,1
1821.190255,-83.60844179,3545.341074,-85.37090555,16929.93101,-85.79273247,31160.11613,-87.72656997,121938.2652,-79.45442838,1
1822.511961,-83.60390192,3564.296663,-85.38465917,17772.62513,-85.28694552,31714.22622,-84.44374069,121017.7448,-79.30355596,1
1821.46443,-83.3913235,3567.536479,-85.37552736,17444.30983,-87.11844784,31394.82374,-84.45359764,121724.4602,-79.85038735,1
1822.14757,-83.77817044,3572.904668,-85.71797367,15805.59833,-86.07844994,32505.2995,-86.42557121,121244.7079,-79.00820659,1
1819.43535,-83.70865634,3560.448018,-85.61857002,15991.62519,-86.04414576,31886.57305,-83.70548031,121763.711,-79.89231075,1
1820.221635,-83.64797744,3571.063949,-85.64943506,17168.29055,-86.92705291,31745.28912,-87.20717984,122096.5531,-80.13645481,1
1819.324931,-83.56388429,3569.564415,-85.24831079,16445.99527,-87.17565272,31103.03629,-85.21030859,121568.1144,-79.09920082,1
1820.230865,-83.58784067,3522.799707,-85.24707174,16529.79045,-87.96500896,31517.77154,-85.58107267,121696.3783,-79.63131227,1
1818.917616,-83.63078218,3561.029173,-84.48251127,17434.20681,-84.43308425,31623.78947,-87.13642339,121708.4991,-79.11997186,1
1816.27389,-83.59125453,3575.997351,-84.82728782,15865.87256,-87.35254972,31963.72834,-84.89570083,121294.4546,-79.26540126,1
1821.785535,-83.59927003,3572.351591,-85.58576822,16446.05773,-84.61038809,31869.15502,-82.64607095,122085.884,-80.06748564,1
1820.108607,-83.70671324,3552.819788,-85.24915482,16051.20272,-86.75540932,31927.38156,-85.07721618,122152.5988,-80.4963274,1
1816.552075,-83.72310061,3543.77274,-84.97805823,15810.58878,-87.2225632,31177.05216,-85.86630017,121808.5672,-79.85756596,1
1822.611703,-83.53226987,3537.369193,-85.36782375,15994.77758,-85.46628698,32072.76283,-84.5130644,121593.3523,-79.41950863,1
1818.645025,-83.73677399,3557.587444,-85.40824875,17513.95607,-86.94901056,31002.0104,-85.02058275,121410.0922,-79.90682836,1
1821.422242,-83.78352759,3583.475894,-85.35936595,16894.57742,-85.53022226,31325.82099,-85.13650588,121353.7299,-79.68289281,1
1823.382722,-83.63524013,3520.29994,-85.03041916,15972.9162,-86.59612597,31696.4747,-85.8105682,122154.0946,-80.0001643,1
1821.645282,-83.60810726,3546.757271,-85.72226544,16614.48768,-85.63433772,31473.83274,-83.06331434,122052.5918,-79.35914345,1
1824.570658,-83.184442,3536.929084,-85.51149674,15220.87414,-87.34756262,31145.56325,-84.49917703,121546.4579,-79.39025434,1
1817.696763,-83.70409794,3576.346626,-85.19045363,16117.30398,-85.21930822,31216.30062,-85.96391991,121027.2458,-79.61545069,1
1822.436714,-83.41492193,3548.919508,-85.25456771,18971.33152,-85.62541073,30937.66226,-85.3383895,120598.4989,-78.87618444,1
1819.289177,-83.44932774,3550.633043,-85.28354832,16753.93535,-87.2901614,31735.27889,-86.27945485,121197.2624,-78.83657379,1
1818.750704,-83.7890708,3555.828372,-85.52929366,17567.61028,-83.07680559,32014.64182,-86.08231537,121523.5293,-79.2035382,1
1819.595955,-83.44475404,3569.392622,-84.98797145,16778.443,-85.5637342,31492.81166,-86.13054549,122047.8916,-80.13429796,1
1820.369837,-83.78818214,3552.235513,-84.51964266,17187.9596,-83.49365887,31377.8006,-86.86450632,121345.1124,-79.86074914,1
1821.434459,-84.04705898,3497.888755,-85.21626993,17499.89419,-84.30993522,30966.77643,-84.02197938,121741.12,-79.26577289,1
1817.89849,-83.4740467,3571.397918,-85.45806658,15749.71721,-86.42584904,31881.45185,-85.61056595,122014.5022,-79.67336739,1
1823.879935,-83.8885556,3569.262573,-85.07539825,16812.64923,-86.69010073,32379.17979,-84.35380191,121612.2717,-79.61769345,1
1822.620041,-83.50131289,3555.775301,-85.59757971,18406.3354,-86.67967839,30842.1116,-86.17426347,121519.4793,-79.07221064,1
1816.824094,-83.70046747,3538.071123,-85.682491,16055.73878,-88.36683587,31123.55602,-85.26754696,121120.1009,-79.2249443,1
1825.580658,-83.2892309,3567.4755,-85.36693377,16282.50641,-87.02546196,31270.73073,-86.23510351,121156.4969,-78.90881398,1
1826.760855,-83.39294391,3568.037765,-86.42172502,16538.66473,-85.91067805,31314.93037,-84.1076435,121710.7412,-79.59491397,1
1824.684669,-83.65999853,3550.645428,-85.84551633,17109.60674,-84.39781956,31618.47593,-85.54718692,121499.4611,-78.88477952,1
1820.750928,-83.70113897,3555.832838,-85.52048655,17362.93885,-87.11645258,32150.25267,-86.26459511,121610.2154,-79.64407694,1
1818.17179,-83.79348091,3541.222465,-85.92594359,18097.99973,-85.15934042,31918.02904,-87.61899629,121552.0681,-78.83587466,1
1824.324713,-83.65781155,3556.613964,-85.79659693,17337.77368,-87.68392191,31733.60053,-84.76787269,121795.6784,-79.38434767,1
1820.104565,-83.62963603,3528.519774,-85.55629135,16781.84386,-86.895942,31253.73123,-86.23115472,121299.5589,-79.76465206,1
1824.81109,-83.64443525,3568.81768,-86.04272065,18089.83774,-86.74375699,31102.00921,-85.20125175,121453.3453,-80.06796453,1
1821.874849,-83.55294302,3540.931415,-85.54392046,17540.33815,-85.7627913,31225.79985,-85.90898942,122217.5621,-79.54464314,1
1824.099428,-83.47892455,3565.147487,-85.59602209,15362.56912,-85.66167491,32124.87639,-83.75891081,121294.3887,-79.52683911,1
1822.303606,-83.51908501,3531.478331,-85.36991938,19344.35325,-85.06438977,31507.63121,-84.36864634,121471.8382,-79.0884664,1
1823.31753,-83.71452882,3548.187417,-84.91471844,18595.47898,-85.29087629,31359.97604,-84.51278495,121366.4352,-79.46952169,1
1821.302249,-83.83273715,3558.008591,-85.3105989,16676.74552,-85.91493306,31460.84831,-86.09395851,121720.5627,-79.59618225,1
1826.442327,-83.34099936,3526.261523,-85.37167085,17217.40274,-85.74084825,31847.48644,-84.48441608,121918.3525,-79.00213125,1
1821.639286,-83.70142176,3562.629461,-85.34005765,18154.37675,-84.32381634,31027.92283,-82.6278382,121397.656,-79.51447924,1
1822.435694,-83.69490188,3552.506687,-85.28846416,16672.79885,-86.80677613,32073.80669,-86.41524644,121420.5292,-79.65277855,1
1826.723974,-83.67189635,3524.589266,-85.79018317,17566.31623,-85.2862741,31591.30255,-84.92152027,121472.7264,-79.19986177,1
1817.369797,-83.90385334,3533.581957,-85.42644977,17936.79663,-88.34095364,31448.35308,-87.63016921,,,1
1817.593522,-83.66431314,3572.6637,-85.25565485,15838.60903,-85.71604853,31701.10458,-83.0981301,,,1
