Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,R_1MHz,X_1MHz,R_500kHz,X_500MHz,R_100kHz,X_100MHz,R_50kHz,X_50MHz,R_10kHz,X_10MHz
1826.379159,-83.4585295,3578.605538,-85.82493183,17848.77353,-85.55503267,30923.77481,-84.67948696,121151.8394,-79.34971646,208.06536587779826,-1814.4888084393592,260.53757153587287,-3569.108820199023,1383.3070662276223,-17795.08859449015,2867.4710612399563,-30790.541700537553,22390.54597058914,-119064.82117377208
1822.43039,-83.70776486,3588.429488,-85.42117581,17537.2992,-87.16496869,31855.09213,-88.80243961,121616.4272,-78.98049875,199.73765295508053,-1811.4517372504154,286.46619825490177,-3576.976839120618,867.4025766900843,-17515.83500722338,665.7666464806729,-31848.134158584893,23246.139926684067,-119374.08572802527
1824.105505,-83.82318648,3532.988697,-85.37238973,16429.97769,-87.91634482,31066.25861,-83.51989834,121313.6036,-79.64677266,196.26834103065647,-1813.5158206313997,285.03888854513934,-3521.4715624503783,597.3714449810409,-16419.11429555867,3506.0804070293525,-30867.779709639697,21802.014932662838,-119338.43707412077
1827.759715,-83.85820681,3519.955468,-84.63428262,15756.76588,-87.76094197,31640.11028,-85.15734413,121513.8072,-79.96238363,195.5508087048011,-1817.2686804630125,329.1602136994751,-3504.531359600084,615.6009108674062,-15744.735835055202,2671.0484417591815,-31527.164140663488,21179.21203071746,-119653.8604391713
1826.67883,-83.47333429,3546.7539,-85.46653117,18538.43959,-85.56268731,31423.10366,-87.92085366,121650.4594,-79.73759426,207.63057123339345,-1814.8402392110065,280.34047484860207,-3535.657286181294,1434.287959347332,-18482.87208422302,1140.029751452215,-31402.41671898692,21672.833060656707,-119704.31311926883
1818.44242,-83.78905576,3563.871956,-85.58140219,16059.09042,-86.30318372,31087.21852,-85.71476234,121602.5547,-79.53147397,196.73592070552684,-1807.7687386277055,274.57017696367507,-3553.279405941137,1035.439685850282,-16025.674705755826,2322.892867500428,-31000.311676438778,22094.621425333404,-119578.46383708768
1824.022559,-83.66937426,3570.484103,-85.37155422,15808.2177,-86.86990085,30910.3984,-84.27226276,121405.5444,-79.62143878,201.12691889595558,-1812.8999581433964,288.11588635646825,-3558.8405367204555,863.1818974847087,-15784.63378930433,3084.9025995916645,-30756.07428131482,21871.34267401176,-119419.22198999759
1820.833637,-83.68507886,3581.732956,-85.750814,15769.27993,-85.05915497,31335.35839,-87.54426672,122004.1516,-78.90006468,200.2792413471331,-1809.7854456028938,265.38607594261384,-3571.887624043102,1358.1635520753139,-15710.683666744582,1342.6420742808027,-31306.580740957874,23488.344038944655,-119721.80545725142
1820.973008,-83.58966488,3566.093145,-85.30243294,17949.39607,-85.60164475,32198.71017,-85.17299667,120987.4555,-79.47324097,203.30833694053177,-1809.5879133092826,292.04943651380773,-3554.114157627461,1376.5464791877114,-17896.534275338545,2709.4402599781683,-32084.511373702902,22103.76909620192,-118951.19915371289
1822.46062,-83.92020941,3595.959786,-85.52737977,16329.57016,-87.0959816,31418.77508,-86.75024851,121818.2922,-79.24438798,193.02289331183792,-1812.2099420619875,280.42262716029717,-3585.0090561539287,827.3047590241194,-16308.599830949881,1781.081887057413,-31368.251064399894,22733.761897671353,-119678.20346455977
1821.688886,-83.5473147,3555.712539,-86.10255047,16097.11646,-87.62314247,31882.99308,-86.00453631,120932.2042,-79.44429148,204.7262906239707,-1810.1484865345358,241.684908813534,-3547.489262119566,667.5811000023974,-16083.267510108835,2221.52702214389,-31805.503697146698,22153.746454997145,-118885.69943722499
1825.482283,-83.48851084,3541.572194,-85.40379061,16979.58724,-85.5836755,31509.43348,-85.13802819,121699.2694,-79.59662395,207.0141563245857,-1813.7063446512261,283.7967289497619,-3530.1831428342903,1307.4808807555453,-16929.172353875707,2670.601347907581,-31396.05527245579,21976.101153032967,-119698.6347065222
