Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,R_1MHz,X_1MHz,R_500kHz,X_500MHz,R_100kHz,X_100MHz,R_50kHz,X_50MHz,R_10kHz,X_10MHz,A/Z_1MHz,P/Z_1MHz,A/Z_500kHz,P/Z_500kHz,A/Z_100kHz,P/Z_100kHz,A/Z_50kHz,P/Z_50kHz,A/Z_10kHz,P/Z_10kHz,G_1MHz,B_1MHz,G_500kHz,B_500MHz,G_100kHz,B_100MHz,G_50kHz,B_50MHz,G_10kHz,B_10MHz,label
1826.379159,-83.4585295,3578.605538,-85.82493183,17848.77353,-85.55503267,30923.77481,-84.67948696,121151.8394,-79.34971646,208.06536587779826,-1814.4888084393592,260.53757153587287,-3569.108820199023,1383.3070662276223,-17795.08859449015,2867.4710612399563,-30790.541700537553,22390.54597058914,-119064.82117377208,0.0005475314340246477,83.4585295,0.0002794384542753703,85.82493183,5.602625851682259e-05,85.55503267,3.233757864763083e-05,84.67948696,8.254104972342665e-06,79.34971646,6.237605569935978e-05,0.0005439668178487337,2.0344297659398256e-05,0.0002786968949962558,4.342120155782838e-06,5.585774463712781e-05,2.9985689500192207e-06,3.219825425459725e-05,1.5254734698589054e-06,8.1119159011425e-06,1
1822.43039,-83.70776486,3588.429488,-85.42117581,17537.2992,-87.16496869,31855.09213,-88.80243961,121616.4272,-78.98049875,199.73765295508053,-1811.4517372504154,286.46619825490177,-3576.976839120618,867.4025766900843,-17515.83500722338,665.7666464806729,-31848.134158584893,23246.139926684067,-119374.08572802527,0.0005487178031529643,83.70776486,0.00027867344289307655,85.42117581,5.7021322872794454e-05,87.16496869,3.1392155323833934e-05,88.80243961,8.222573405774248e-06,78.98049875,6.013925510561804e-05,0.0005454122271203283,2.22466463412877e-05,0.0002777840429190389,2.8202998547312885e-06,5.695153352538345e-05,6.560913366835495e-07,3.138529846972375e-05,1.5716881045495746e-06,8.070967099137704e-06,1
1824.105505,-83.82318648,3532.988697,-85.37238973,16429.97769,-87.91634482,31066.25861,-83.51989834,121313.6036,-79.64677266,196.26834103065647,-1813.5158206313997,285.03888854513934,-3521.4715624503783,597.3714449810409,-16419.11429555867,3506.0804070293525,-30867.779709639697,21802.014932662838,-119338.43707412077,0.0005482139038881965,83.82318648,0.00028304647587724794,85.37238973,6.086435531854943e-05,87.91634482,3.2189264003554884e-05,83.51989834,8.243098633004418e-06,79.64677266,5.89861897522622e-05,0.00054503129619761,2.2835978207113226e-05,0.0002821237771012109,2.2129444464559935e-06,6.08241122024772e-05,3.632820715759792e-06,3.198361034557701e-05,1.4814180286057792e-06,8.108888684521516e-06,1
1827.759715,-83.85820681,3519.955468,-84.63428262,15756.76588,-87.76094197,31640.11028,-85.15734413,121513.8072,-79.96238363,195.5508087048011,-1817.2686804630125,329.1602136994751,-3504.531359600084,615.6009108674062,-15744.735835055202,2671.0484417591815,-31527.164140663488,21179.21203071746,-119653.8604391713,0.0005471178688277414,83.85820681,0.00028409450320920936,84.63428262,6.346480030329675e-05,87.76094197,3.160545241942817e-05,85.15734413,8.229517476595039e-06,79.96238363,5.8535780621531053e-05,0.0005439775039260701,2.6566417739461457e-05,0.0002828496282517972,2.4795055769863043e-06,6.341634591831217e-05,2.6681226357599016e-06,3.149262999873595e-05,1.434361243084327e-06,8.10355266052617e-06,1
1826.67883,-83.47333429,3546.7539,-85.46653117,18538.43959,-85.56268731,31423.10366,-87.92085366,121650.4594,-79.73759426,207.63057123339345,-1814.8402392110065,280.34047484860207,-3535.657286181294,1434.287959347332,-18482.87208422302,1140.029751452215,-31402.41671898692,21672.833060656707,-119704.31311926883,0.0005474416101926358,83.47333429,0.00028194795246436465,85.46653117,5.394197257785491e-05,85.56268731,3.1823718332220275e-05,87.92085366,8.220273108150711e-06,79.73759426,6.222528688375157e-05,0.0005438936754941545,2.2285567339885372e-05,0.0002810658310559771,4.173399891412395e-06,5.37802857833278e-05,1.1545640460318037e-06,3.180276765239314e-05,1.4644959638019748e-06,8.088766379652307e-06,1
1818.44242,-83.78905576,3563.871956,-85.58140219,16059.09042,-86.30318372,31087.21852,-85.71476234,121602.5547,-79.53147397,196.73592070552684,-1807.7687386277055,274.57017696367507,-3553.279405941137,1035.439685850282,-16025.674705755826,2322.892867500428,-31000.311676438778,22094.621425333404,-119578.46383708768,0.0005499211792474572,83.78905576,0.0002805936948201626,85.58140219,6.227002737057881e-05,86.30318372,3.2167561062326914e-05,85.71476234,8.223511442395708e-06,79.53147397,5.9495559675030874e-05,0.0005466933160043836,2.1617684752101538e-05,0.0002797597134663769,4.014975686180899e-06,6.21404560570005e-05,2.403618004888129e-06,3.207763403346806e-05,1.4941739715492229e-06,8.086629989430576e-06,1
1824.022559,-83.66937426,3570.484103,-85.37155422,15808.2177,-86.86990085,30910.3984,-84.27226276,121405.5444,-79.62143878,201.12691889595558,-1812.8999581433964,288.11588635646825,-3558.8405367204555,863.1818974847087,-15784.63378930433,3084.9025995916645,-30756.07428131482,21871.34267401176,-119419.22198999759,0.0005482388334869273,83.66937426,0.0002800740659116163,85.37155422,6.3258238150402e-05,86.86990085,3.235157266688611e-05,84.27226276,8.236856108525468e-06,79.62143878,6.045187700901595e-05,0.000544895759856134,2.2600237227715015e-05,0.0002791607273122697,3.4541127326582544e-06,6.316386466266186e-05,3.2287338820244907e-06,3.2190053301289816e-05,1.4838787091348648e-06,8.102092478436023e-06,1
1820.833637,-83.68507886,3581.732956,-85.750814,15769.27993,-85.05915497,31335.35839,-87.54426672,122004.1516,-78.90006468,200.2792413471331,-1809.7854456028938,265.38607594261384,-3571.887624043102,1358.1635520753139,-15710.683666744582,1342.6420742808027,-31306.580740957874,23488.344038944655,-119721.80545725142,0.0005491989930763785,83.68507886,0.0002791944604147088,85.750814,6.341443645106248e-05,85.05915497,3.1912831107721695e-05,87.54426672,8.196442390571896e-06,78.90006468,6.040813144421634e-05,0.0005458666427356835,2.0686724327187674e-05,0.0002784270212512991,5.461706345854009e-06,6.31787979799988e-05,1.367385342186424e-06,3.1883523121448536e-05,1.5779861278519205e-06,8.043110570063728e-06,1
1820.973008,-83.58966488,3566.093145,-85.30243294,17949.39607,-85.60164475,32198.71017,-85.17299667,120987.4555,-79.47324097,203.30833694053177,-1809.5879133092826,292.04943651380773,-3554.114157627461,1376.5464791877114,-17896.534275338545,2709.4402599781683,-32084.511373702902,22103.76909620192,-118951.19915371289,0.0005491569592776743,83.58966488,0.0002804189232695996,85.30243294,5.571218084999336e-05,85.60164475,3.10571446719538e-05,85.17299667,8.265319704983795e-06,79.47324097,6.131237949138414e-05,0.0005457235179504415,2.2965241007100857e-05,0.00027947695832244805,4.272589790645106e-06,5.554810592219362e-05,2.6133804021926162e-06,3.0946994652923954e-05,1.5100302548742301e-06,8.12621181455159e-06,1
1822.46062,-83.92020941,3595.959786,-85.52737977,16329.57016,-87.0959816,31418.77508,-86.75024851,121818.2922,-79.24438798,193.02289331183792,-1812.2099420619875,280.42262716029717,-3585.0090561539287,827.3047590241194,-16308.599830949881,1781.081887057413,-31368.251064399894,22733.761897671353,-119678.20346455977,0.000548708701316136,83.92020941,0.00027808987294386837,85.52737977,6.123859906916252e-05,87.0959816,3.182810270145007e-05,86.75024851,8.208947785593731e-06,79.24438798,5.8115571854398506e-05,0.0005456224145029938,2.1686197120779706e-05,0.00027724300944906717,3.102530192128962e-06,6.11599568538154e-05,1.8042860384153407e-06,3.1776920452832316e-05,1.5319560060956463e-06,8.064734003176528e-06,1
